"labels","text"
"0","Jak działa lodówka?"
"1","Jakie muzea są związane z Uniwersytetem Jagiellońskim?"
"1","Jakie są zasady organizacji praktyk zawodowych dla studentów Wydziału Matematyki i Informatyki UJ?"
"0","Dlaczego lód jest śliski?"
"1","Czy Uniwersytet Jagielloński oferuje kursy online?"
"1","Jakie są tradycje akademickie na Uniwersytecie Jagiellońskim?"
"0","Dlaczego niebo jest różowe podczas zachodu słońca"
"1","Ile wydziałów ma Uniwersytet Jagielloński?"
"0","Dlaczego niektóre rośliny zamykają swoje liście w nocy?"
"1","Kiedy powstał Uniwersytet Jagielloński?"
"0","Jakie są najbardziej znane wodospady na świecie?"
"0","Dlaczego niektóre zwierzęta są jadowite?"
"1","Jakie są możliwości kontynuacji nauki na studiach doktoranckich po ukończeniu studiów na Wydziale Matematyki i Informatyki UJ?"
"1","Jakie są najnowsze osiągnięcia naukowe pracowników Wydziału Matematyki i Informatyki UJ?"
"0","Jakie są różnice między satelitą naturalnym a sztucznym?"
"1","Jakie są najstarsze budynki Uniwersytetu Jagiellońskiego?"
"1","Jakie są zasady organizacji zajęć dydaktycznych na Wydziale Matematyki i Informatyki UJ?"
"1","Jakie są zasady korzystania z infrastruktury sportowej dla studentów Wydziału Matematyki i Informatyki UJ?"
"1","Jakie są perspektywy zawodowe dla absolwentów Wydziału Matematyki i Informatyki UJ?"
"0","Dlaczego kameleony zmieniają kolor?"
"1","Jakie programy wymiany międzynarodowej są dostępne dla studentów Wydziału Matematyki i Informatyki UJ?"
"0","Jakie są najbardziej znane kaniony na świecie?"
"1","Jakie są możliwości udziału w konferencjach naukowych dla studentów Wydziału Matematyki i Informatyki UJ?"
"1","Jak działa system stypendialny na Uniwersytecie Jagiellońskim?"
"1","Jakie są możliwości uzyskania wsparcia finansowego dla studentów Wydziału Matematyki i Informatyki UJ?"
"0","Dlaczego Księżyc nie ma atmosfery?"
"0","Dlaczego ptaki nie dostają porażenia prądem na liniach energetycznych?"
"0","Jak działa zegar atomowy?"
"1","Jak wygląda życie studenckie na UJ?"
"1","Jakie są możliwości rozwoju kariery naukowej dla absolwentów Wydziału Matematyki i Informatyki UJ?"
"0","Jak działa układ GPS?"
"0","Jakie są różnice między morzem wewnętrznym a otwartym?"
"0","Jak działają magnesy?"
"1","Jakie są najbardziej prestiżowe kierunki na UJ?"
"0","Jak powstają burze piaskowe?"
"0","Jakie są różnice między stalą a żelazem?"
"1","Jak Uniwersytet Jagielloński wspiera badania naukowe?"
"0","Dlaczego psy mają mokre nosy?"
"0","Dlaczego Ziemia ma pole magnetyczne?"
"0","Jakie są różnice między owadem a pajęczakiem?"
"1","Jakie konferencje naukowe organizuje UJ?"
"0","Jakie są najpopularniejsze języki programowania?"
"1","Jakie są możliwości udziału w projektach badawczych dla studentów Wydziału Matematyki i Informatyki UJ?"
"1","Jakie laboratoria komputerowe są dostępne dla studentów na Wydziale Matematyki i Informatyki UJ?"
"1","Gdzie znajdują się akademiki UJ?"
"1","Które wydarzenia historyczne miały największy wpływ na Uniwersytet Jagielloński?"
"1","Jakie inicjatywy ekologiczne podejmuje Uniwersytet Jagielloński?"
"0","Jak powstaje mgła?"
"0","Jakie są najbardziej znane obrazy na świecie?"
"1","Jakie są najstarsze tradycje studenckie na UJ"
"1","Jakie są możliwości udziału w programach mentoringowych na Wydziale Matematyki i Informatyki UJ?"
"0","Jakie są różnice między mrówką a termitem?"
"0","Jak działa żarówka?"
"0","Dlaczego wulkany występują na granicach płyt tektonicznych?"
"0","Jakie są największe jeziora na świecie?"
"1","Gdzie można znaleźć archiwalne dokumenty Uniwersytetu Jagiellońskiego?"
"0","Jak powstaje echo?"
"1","Jakie organizacje studenckie działają na Wydziale Matematyki i Informatyki UJ?"
"0","Dlaczego ryby mają łuski?"
"0","Jakie są różnice między gadem a płazem?"
"1","Które wydziały są najbardziej międzynarodowe na UJ?"
"1","Którzy nobliści studiowali lub pracowali na UJ?"
"1","Jakie kierunki studiów oferuje Uniwersytet Jagielloński?"
"0","Jak działa tęcza?"
"0","Co to jest ciśnienie atmosferyczne?"
"0","Jakie są najbardziej znane teorie o powstaniu Wszechświata?"
"1","Gdzie znajduje się Collegium Maius?"
"0","Dlaczego banany są zakrzywione?"
"0","Dlaczego woda wrze w niższej temperaturze na dużych wysokościach?"
"1","Kim był założyciel Uniwersytetu Jagiellońskiego?"
"1","Jakie są wymagania rekrutacyjne na studia magisterskie na Wydziale Matematyki i Informatyki UJ?"
"0","Jak działa pralka?"
"0","Jakie są różnice między słoniem afrykańskim a indyjskim?"
"1","Jakie języki obce można studiować na UJ?"
"1","Jakie biblioteki działają w strukturach UJ?"
"0","Dlaczego wulkany są różnej wysokości?"
"1","Które instytucje są związane z Uniwersytetem Jagiellońskim?"
"0","Jak powstaje tępy ból głowy?"
"0","Jakie są najstarsze góry na Ziemi?"
"1","Kto jest obecnym dziekanem Wydziału Matematyki i Informatyki UJ?"
"0","Dlaczego liście zmieniają kolor jesienią?"
"1","Jakie są główne obszary badawcze prowadzone na Wydziale Matematyki i Informatyki UJ?"
"0","Dlaczego niektóre gwiazdy są większe od Słońca?"
"1","Jakie są zasady korzystania z biblioteki Wydziału Matematyki i Informatyki UJ?"
"0","Jakie są różnice między biegunem północnym a południowym?"
"1","Jakie są wymagania rekrutacyjne na UJ?"
"0","Jakie są największe pustynie na świecie?"
"1","Co symbolizuje herb Uniwersytetu Jagiellońskiego?"
"0","Jak działa silnik odrzutowy?"
"1","Którzy znani naukowcy byli związani z Uniwersytetem Jagiellońskim?"
"0","Jakie są najważniejsze osiągnięcia ludzkiej cywilizacji?"
"1","Jakie są zasady przyznawania stypendiów na Wydziale Matematyki i Informatyki UJ? "
"1","Jakie jest znaczenie Collegium Novum w historii UJ?"
"1","Jakie są możliwości udziału w programach stażowych dla studentów Wydziału Matematyki i Informatyki UJ?"
"1","Jakie są możliwości studiowania za granicą w ramach UJ?"
"0","Jakie są najgłębsze miejsca na Ziemi?"
"0","Dlaczego pająki tkają sieci?"
"0","Dlaczego niektóre owoce mają pestki?"
"1","Jakie programy doktoranckie oferuje UJ?"
"0","Dlaczego sól rozpuszcza lód?"
